         3132994 function calls (3026944 primitive calls) in 45.850 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.005    0.000    0.021    0.001 _minpack_py.py:484(func_wrapped)
      726    0.005    0.000    0.021    0.000 errors.py:467(catch_warnings)
      170    0.005    0.000    0.026    0.000 builder.py:977(insert_value)
      191    0.005    0.000    0.005    0.000 ffi.py:211(__init__)
1653/1652    0.005    0.000    0.052    0.000 manager.py:33(__getitem__)
      397    0.005    0.000    0.100    0.000 context.py:336(_call_incref_decref)
      938    0.005    0.000    0.006    0.000 controlflow.py:366(_add_edge)
      324    0.005    0.000    0.007    0.000 ir.py:1210(find_exprs)
      482    0.005    0.000    0.012    0.000 numpy_support.py:387(choose_types)
      325    0.005    0.000    0.016    0.000 controlflow.py:394(_eliminate_dead_blocks)
     1498    0.005    0.000    0.007    0.000 compiler_machinery.py:429(is_registered)
      781    0.005    0.000    0.017    0.000 target_extension.py:52(get_local_target)
      422    0.005    0.000    0.007    0.000 values.py:498(__eq__)
     13/2    0.005    0.000    9.104    4.552 compiler_machinery.py:342(run)
      195    0.005    0.000    0.032    0.000 inspect.py:2371(_signature_from_callable)
      364    0.004    0.000    0.007    0.000 warnings.py:181(_add_filter)
     1054    0.004    0.000    0.004    0.000 ffi.py:278(__init__)
      161    0.004    0.000    0.089    0.001 cgutils.py:362(alloca_once)
     1389    0.004    0.000    0.009    0.000 context.py:469(_insert_global)
      229    0.004    0.000    0.015    0.000 ir.py:575(__repr__)
      300    0.004    0.000    0.061    0.000 typeof.py:32(typeof)
     3003    0.004    0.000    0.004    0.000 controlflow.py:124(predecessors)
     1476    0.004    0.000    0.009    0.000 {built-in method builtins.all}
      334    0.004    0.000    0.017    0.000 contextlib.py:533(__exit__)
       13    0.004    0.000    0.026    0.002 ir_utils.py:2291(fixup_var_define_in_scope)
     4016    0.004    0.000    0.004    0.000 {method 'pop' of 'dict' objects}
      357    0.004    0.000    0.847    0.002 pprint.py:57(pformat)
     1175    0.004    0.000    0.007    0.000 base.py:137(append)
      175    0.004    0.000    0.010    0.000 typeinfer.py:508(fold_arg_vars)
      100    0.004    0.000    0.022    0.000 stride_tricks.py:480(broadcast_arrays)
     1539    0.004    0.000    0.004    0.000 ir.py:1264(terminator)
      444    0.004    0.000    0.014    0.000 instructions.py:415(descr)
     2388    0.004    0.000    0.004    0.000 abstract.py:114(__repr__)
      147    0.004    0.000    0.037    0.000 module.py:45(add_metadata)
     1059    0.004    0.000    0.005    0.000 types.py:231(__eq__)
    27/25    0.004    0.000    1.054    0.042 typeinfer.py:142(propagate)
   325/50    0.004    0.000    9.103    0.182 compiler_lock.py:32(_acquire_compile_lock)
        1    0.004    0.004    0.005    0.005 helper.py:123(fftfreq)
       13    0.004    0.000    0.045    0.003 interpreter.py:973(peep_hole_delete_with_exit)
     1752    0.004    0.000    0.022    0.000 base.py:379(_insert_setattr_defn)
      169    0.004    0.000    0.010    0.000 controlflow.py:577(_find_back_edges)
      278    0.004    0.000    0.012    0.000 instructions.py:341(descr)
      190    0.004    0.000    0.019    0.000 instructions.py:509(__init__)
      314    0.004    0.000    0.022    0.000 iostream.py:202(schedule)
      357    0.004    0.000    0.840    0.002 pprint.py:155(pformat)
     1603    0.004    0.000    0.032    0.000 utils.py:337(key)
      204    0.004    0.000    0.006    0.000 utils.py:222(_is_ascii)
      964    0.004    0.000    0.005    0.000 values.py:860(__init__)
      487    0.004    0.000    0.006    0.000 ir.py:1481(get_definition)
      227    0.004    0.000    0.013    0.000 values.py:781(__init__)
      723    0.004    0.000    0.004    0.000 compiler_machinery.py:385(resolve_requires)
      260    0.004    0.000    0.018    0.000 ir_utils.py:2186(enforce_no_dels)
       57    0.004    0.000    0.004    0.000 values.py:47(<listcomp>)
     1780    0.004    0.000    0.015    0.000 target_extension.py:120(inherits_from)
       13    0.004    0.000    0.040    0.003 byteflow.py:78(run)
      424    0.004    0.000    0.011    0.000 compiler_machinery.py:188(_validate_pass)
  209/173    0.004    0.000    0.911    0.005 context.py:233(_resolve_user_function_type)
      392    0.004    0.000    0.025    0.000 values.py:958(append_basic_block)
      100    0.004    0.000    1.286    0.013 function_base.py:4846(meshgrid)
     1511    0.004    0.000    0.006    0.000 abstract.py:19(_autoincr)
      582    0.004    0.000    0.005    0.000 models.py:48(get_argument_type)
      509    0.004    0.000    0.036    0.000 instructions.py:431(__init__)
     3442    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
       45    0.004    0.000    0.036    0.001 ir.py:1254(dump)
      244    0.004    0.000    0.046    0.000 lowering.py:1518(decref)
     2609    0.004    0.000    0.004    0.000 __init__.py:1724(isEnabledFor)
      975    0.004    0.000    0.006    0.000 compiler_machinery.py:28(__exit__)
      663    0.004    0.000    0.004    0.000 cpu_options.py:58(encode)
       38    0.004    0.000    0.038    0.001 inline_closurecall.py:1356(_inline_const_arraycall)
      208    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      600    0.004    0.000    0.004    0.000 std.py:233(__call__)
      278    0.004    0.000    0.017    0.000 instructions.py:325(__init__)
      524    0.004    0.000    0.007    0.000 inspect.py:2630(__init__)
       12    0.004    0.000    0.040    0.003 ssa.py:167(_run_block_rewrite)
     3498    0.004    0.000    0.004    0.000 {function _TargetRegistry.__getitem__ at 0x7f3e4b6be7a0}
      729    0.004    0.000    0.004    0.000 {built-in method _imp.acquire_lock}
     1974    0.004    0.000    0.004    0.000 enum.py:439(__getitem__)
      467    0.004    0.000    0.063    0.000 module.py:251(_next)
     1008    0.004    0.000    0.005    0.000 types.py:240(format_constant)
      289    0.004    0.000    0.067    0.000 context.py:374(resolve_value_type)
      456    0.004    0.000    0.006    0.000 templates.py:183(signature)
     1966    0.004    0.000    0.004    0.000 {built-in method numba.core.typeconv._typeconv.check_compatible}
      686    0.004    0.000    0.273    0.000 targetconfig.py:196(values)
     1752    0.004    0.000    0.022    0.000 base.py:387(_insert_get_constant_defn)
       13    0.003    0.000    0.051    0.004 lowering.py:349(_find_singly_assigned_variable)
      306    0.003    0.000    0.211    0.001 utils.py:329(_text_width)
     1752    0.003    0.000    0.022    0.000 base.py:383(_insert_cast_defn)
     1752    0.003    0.000    0.022    0.000 base.py:375(_insert_getattr_defn)
      328    0.003    0.000    0.005    0.000 contextlib.py:462(push)
       45    0.003    0.000    0.007    0.000 interpreter.py:1508(_remove_unused_temporaries)
     2817    0.003    0.000    0.003    0.000 analysis.py:40(<genexpr>)
      392    0.003    0.000    0.007    0.000 builder.py:357(_set_terminator)
       71    0.003    0.000    0.035    0.000 instructions.py:191(set_weights)
      176    0.003    0.000    0.063    0.000 __init__.py:919(read_text)
      207    0.003    0.000    0.544    0.003 templates.py:698(_get_impl)
      316    0.003    0.000    0.024    0.000 instructions.py:181(descr)
      733    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      733    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      226    0.003    0.000    0.149    0.001 npydecl.py:202(generic)
      130    0.003    0.000    0.019    0.000 iostream.py:526(write)
      169    0.003    0.000    0.034    0.000 cgutils.py:900(gep)
     1124    0.003    0.000    0.003    0.000 ffi.py:295(detach)
      370    0.003    0.000    0.042    0.000 value.py:206(is_declaration)
